Employers Holdings Inc (EIG) ,EIG,849120000, 10/28/2015 , Sep 2015 , $0.43 , 1 , $0.63 ,46.51%
Empresas Ica Soc Contrladora (ICA) ,ICA,237090000, 10/28/2015 , Sep 2015 , $0.13 , 1 , $-0.96 ,-838.46%
ENSCO plc (ESV) ,ESV,3920000000, 10/28/2015 , Sep 2015 , $0.74 , 12 , $0.89 ,20.27%
EP Energy Corporation (EPE) ,EPE,1370000000, 10/28/2015 , Sep 2015 , $0.19 , 9 , $0.26 ,36.84%
EPR Properties (EPR) ,EPR,3390000000, 10/28/2015 , Sep 2015 , $1.12 , 5 , $1.17 ,4.46%
Equinix Inc. (EQIX) ,EQIX,16900000000, 10/28/2015 , Sep 2015 , $3.57 , 4 , $3.55 ,-0.56%
Equity One Inc. (EQY) ,EQY,3440000000, 10/28/2015 , Sep 2015 , $0.33 , 10 , $0.33 ,0%
ESSA Bancorp Inc. (ESSA) ,ESSA,151450000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.24 ,n/a
EverBank Financial Corp. (EVER) ,EVER,2160000000, 10/28/2015 , Sep 2015 , $0.36 , 6 , $0.23 ,-36.11%
Extra Space Storage Inc (EXR) ,EXR,9730000000, 10/28/2015 , Sep 2015 , $0.78 , 9 , $0.81 ,3.85%
F5 Networks Inc. (FFIV) ,FFIV,7820000000, 10/28/2015 , Sep 2015 , $1.4 , 6 , $1.4 ,0%
FalconStor Software Inc. (FALC) ,FALC,82370000, 10/28/2015 , Sep 2015 , $n/a , 0 , $-0.06 ,n/a
Farmers & Merchants Bancorp Inc. (OH) (FMAO) ,FMAO,, 10/28/2015 , Sep 2015 , $0.57 , 1 , $0.57 ,0%
Federal-Mogul Holdings Corporation (FDML) ,FDML,1310000000, 10/28/2015 , Sep 2015 , $0.21 , 1 , $0.1 ,-52.38%
Ferrari N.V. (RACE) ,RACE,9530000000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.56 ,n/a
Fiat Chrysler Automobiles N.V. (FCAU) ,FCAU,24860000000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.22 ,n/a
First Bank (FRBA) ,FRBA,50080000, 10/28/2015 , Sep 2015 , $0.12 , 1 , $0.08 ,-33.33%
First Citizens BancShares Inc. (FCNCA) ,FCNCA,3080000000, 10/28/2015 , Sep 2015 , $n/a , 0 , $4.66 ,n/a
