First Bank (FRBA) ,FRBA,50080000, 10/28/2014 , Sep 2014 , $0.11 , 1 , $0.12 ,9.09%
First Citizens BancShares Inc. (FCNCA) ,FCNCA,3080000000, 10/28/2014 , Sep 2014 , $n/a , 0 , $2.74 ,n/a
First Community Bancshares Inc. (FCBC) ,FCBC,356330000, 10/28/2014 , Sep 2014 , $0.29 , 2 , $0.47 ,62.07%
FirstMerit Corporation (FMER) ,FMER,3110000000, 10/28/2014 , Sep 2014 , $0.37 , 9 , $0.37 ,0%
Fiserv Inc. (FISV) ,FISV,22060000000, 10/28/2014 , Sep 2014 , $0.84 , 10 , $0.86 ,2.38%
Fomento Economico Mexicano S.A.B. de C.V. (FMX) ,FMX,7090000000, 10/28/2014 , Sep 2014 , $n/a , 0 , $1 ,n/a
Franklin Street Properties Corp. (FSP) ,FSP,1040000000, 10/28/2014 , Sep 2014 , $0.27 , 4 , $0.28 ,3.7%
Freeport-McMoran Inc. (FCX) ,FCX,12240000000, 10/28/2014 , Sep 2014 , $0.62 , 13 , $0.64 ,3.23%
Fresh Del Monte Produce Inc. (FDP) ,FDP,2380000000, 10/28/2014 , Sep 2014 , $0.34 , 1 , $0.35 ,2.94%
G&K Services Inc. (GK) ,GK,1320000000, 10/28/2014 , Sep 2014 , $0.73 , 6 , $0.81 ,10.96%
Gaming and Leisure Properties Inc. (GLPI) ,GLPI,3340000000, 10/28/2014 , Sep 2014 , $0.6 , 3 , $0.69 ,15%
Georgetown Bancorp Inc. (GTWN) ,GTWN,34510000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.22 ,n/a
Gibraltar Industries Inc. (ROCK) ,ROCK,785940000, 10/28/2014 , Sep 2014 , $0.23 , 1 , $0.3 ,30.43%
Gilead Sciences Inc. (GILD) ,GILD,158690000000, 10/28/2014 , Sep 2014 , $1.64 , 3 , $1.79 ,9.15%
Gladstone Investment Corporation (GAIN) ,GAIN,226730000, 10/28/2014 , Sep 2014 , $0.18 , 1 , $0.16 ,-11.11%
Green Plains Inc. (GPRE) ,GPRE,781150000, 10/28/2014 , Sep 2014 , $0.89 , 3 , $1.03 ,15.73%
Grupo Simec S.A. de C.V. (SIM) ,SIM,1360000000, 10/28/2014 , Sep 2014 , $0.28 , 1 , $0.21 ,-25%
Harmonic Inc. (HLIT) ,HLIT,507620000, 10/28/2014 , Sep 2014 , $0.01 , 2 , $0.02 ,100%
Harris Corporation (HRS) ,HRS,9820000000, 10/28/2014 , Sep 2014 , $1.1 , 5 , $1.18 ,7.27%
Hatteras Financial Corp (HTS) ,HTS,1380000000, 10/28/2014 , Sep 2014 , $0.53 , 4 , $0.51 ,-3.77%
HCA Holdings Inc. (HCA) ,HCA,28040000000, 10/28/2014 , Sep 2014 , $1.17 , 4 , $1.18 ,0.85%
Healthcare Trust of America Inc. (HTA) ,HTA,3340000000, 10/28/2014 , Sep 2014 , $0.18 , 5 , $0.19 ,5.56%
Heidrick & Struggles International Inc. (HSII) ,HSII,488270000, 10/28/2014 , Sep 2014 , $0.22 , 3 , $0.16 ,-27.27%
Highwoods Properties Inc. (HIW) ,HIW,4139999000, 10/28/2014 , Sep 2014 , $0.73 , 9 , $0.7 ,-4.11%
Home Bancorp Inc. (HBCP) ,HBCP,183590000, 10/28/2014 , Sep 2014 , $0.44 , 1 , $0.41 ,-6.82%
Honda Motor Company Ltd. (HMC) ,HMC,59710000000, 10/28/2014 , Sep 2014 , $0.76 , 1 , $0.72 ,-5.26%
HopFed Bancorp Inc. (HFBC) ,HFBC,82240000, 10/28/2014 , Sep 2014 , $0.11 , 1 , $0.27 ,145.45%
Huron Consulting Group Inc. (HURN) ,HURN,1110000000, 10/28/2014 , Sep 2014 , $0.67 , 6 , $0.62 ,-7.46%
icad inc. (ICAD) ,ICAD,61470000, 10/28/2014 , Sep 2014 , $0 , 2 , $0.04 ,∞%
Iconix Brand Group Inc. (ICON) ,ICON,739350000, 10/28/2014 , Sep 2014 , $0.63 , 1 , $0.73 ,15.87%
II-VI Incorporated (IIVI) ,IIVI,1110000000, 10/28/2014 , Sep 2014 , $0.17 , 3 , $0.2 ,17.65%
Independent Bank Group Inc (IBTX) ,IBTX,666370000, 10/28/2014 , Sep 2014 , $0.63 , 3 , $0.58 ,-7.94%
Inphi Corporation (IPHI) ,IPHI,1150000000, 10/28/2014 , Sep 2014 , $-0.02 , 4 , $-0.02 ,-0%
Internap Corporation (INAP) ,INAP,370510000, 10/28/2014 , Sep 2014 , $-0.16 , 4 , $-0.18 ,12.5%
InvenSense Inc. (INVN) ,INVN,1100000000, 10/28/2014 , Sep 2014 , $0.1 , 4 , $-0.03 ,-130%
IPG Photonics Corporation (IPGP) ,IPGP,4360000000, 10/28/2014 , Sep 2014 , $0.98 , 7 , $1.05 ,7.14%
iStar Financial Inc. (STAR) ,STAR,1110000000, 10/28/2014 , Sep 2014 , $-0.16 , 1 , $0.32 ,-300%
Kforce Inc. (KFRC) ,KFRC,821880000, 10/28/2014 , Sep 2014 , $0.28 , 6 , $0.3 ,7.14%
Kilroy Realty Corporation (KRC) ,KRC,6070000000, 10/28/2014 , Sep 2014 , $0.67 , 10 , $0.69 ,2.99%
Kimco Realty Corporation (KIM) ,KIM,11060000000, 10/28/2014 , Sep 2014 , $0.35 , 12 , $0.36 ,2.86%
Kona Grill Inc. (KONA) ,KONA,155060000, 10/28/2014 , Sep 2014 , $0.02 , 6 , $0.03 ,50%
Laboratory Corporation of America Holdings (LH) ,LH,12410000000, 10/28/2014 , Sep 2014 , $1.75 , 15 , $1.8 ,2.86%
Landmark Bancorp Inc. (LARK) ,LARK,88940000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.67 ,n/a
LeMaitre Vascular Inc. (LMAT) ,LMAT,236020000, 10/28/2014 , Sep 2014 , $0.06 , 4 , $0.05 ,-16.67%
Lloyds Banking Group Plc (LYG) ,LYG,81820000000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.05 ,n/a
Macerich Company (The) (MAC) ,MAC,13420000000, 10/28/2014 , Sep 2014 , $0.89 , 11 , $0.88 ,-1.12%
Marriott International (MAR) ,MAR,19740000000, 10/28/2014 , Sep 2014 , $0.62 , 14 , $0.65 ,4.84%
Marsh & McLennan Companies Inc. (MMC) ,MMC,29080000000, 10/28/2014 , Sep 2014 , $0.52 , 12 , $0.56 ,7.69%
Martha Stewart Living Omnimedia Inc. (MSO) ,MSO,347110000, 10/28/2014 , Sep 2014 , $-0.05 , 1 , $-0.06 ,20%
Martin Marietta Materials Inc. (MLM) ,MLM,10400000000, 10/28/2014 , Sep 2014 , $1.69 , 7 , $1.45 ,-14.2%
McKesson Corporation (MCK) ,MCK,41140000000, 10/28/2014 , Sep 2014 , $2.74 , 10 , $2.79 ,1.82%
